CASE_ID,CASE_TYPE,CASE_OPEN_DATE,CASE_CLOSED_DATE,CASE_REOPEN_DATE,DISAB_FLG
SD84686268,Emp and Assistance,2012-09-28,2022-11-15,2021-10-21,Y
SD48017143,Emp and Assistance,2008-11-14,2017-03-18,2013-02-27,N
SD49012795,Emp and Assistance,2009-07-23,2022-04-22,2021-06-03,N
SD48704700,Emp and Assistance,1995-11-27,2022-08-05,2016-12-16,Y
SD47276584,Emp and Assistance,1991-09-12,1997-06-09,1997-05-22,N
SD48428481,Emp and Assistance,2001-04-06,2023-04-19,2017-05-17,Y
SD47763264,Emp and Assistance,1995-05-02,2007-03-28,2006-11-29,N
SD47162775,Emp and Assistance,1996-07-02,2006-01-16,2004-12-06,N
SD47395733,Emp and Assistance,1992-02-07,2022-04-22,2020-07-10,N
SD48574982,Emp and Assistance,1991-10-04,2021-11-12,2016-03-07,N
SD47465659,Emp and Assistance,2000-11-15,2001-09-18,2001-04-18,N
SD48214536,Emp and Assistance,2001-08-02,2003-03-04,2001-11-20,N
SD47067986,Emp and Assistance,1991-03-27,2017-08-09,1993-06-29,Y
SD48747924,Emp and Assistance,1992-09-30,2000-03-10,1999-11-22,N
SD47968397,Emp and Assistance,1993-08-18,2022-09-13,1994-03-28,N
SD47959267,Emp and Assistance,1991-05-27,2003-11-10,2003-07-18,N
SD48985498,Emp and Assistance,1991-03-08,2003-04-10,2001-10-05,N
SD47679457,Emp and Assistance,2000-02-01,2020-01-06,2018-05-16,N
SD48387594,Emp and Assistance,2011-09-08,2016-03-30,2015-11-19,N
SD47040406,Emp and Assistance,1996-05-07,2022-10-21,2022-03-15,N
SD47294884,Emp and Assistance,1994-06-30,2002-01-15,2001-10-02,N
SD48217070,Emp and Assistance,2011-06-15,2022-08-19,2017-03-10,N
SD48683290,Emp and Assistance,1991-03-28,2012-10-12,2012-07-20,N
SD48289334,Emp and Assistance,2000-11-22,2016-02-17,2015-12-29,N
SD49009700,Emp and Assistance,1992-06-08,2009-01-08,2008-12-08,N
SD47738401,Emp and Assistance,2010-04-14,2017-12-06,2017-10-02,N
SD48702191,Emp and Assistance,1994-08-05,2020-04-06,2001-08-20,Y
SD47105618,Emp and Assistance,1991-04-19,2022-08-19,2021-10-26,N
SD47833522,Emp and Assistance,2008-09-16,2023-09-15,2020-12-29,N
SD48782565,Emp and Assistance,2007-11-08,2022-05-20,2020-03-12,N
SD47186722,Emp and Assistance,1995-09-28,2023-02-24,2017-05-03,Y
SD48579533,Emp and Assistance,1993-01-28,2022-03-18,2009-11-26,N
SD48200440,Emp and Assistance,2000-05-25,2021-04-21,2021-01-26,N
SD47547867,Emp and Assistance,2006-06-29,2010-07-16,2010-04-23,N
SD47266169,Emp and Assistance,1996-07-03,2023-02-11,2022-08-11,N
SD48545852,Emp and Assistance,1994-08-29,2021-09-23,2004-11-03,Y
SD47150380,Emp and Assistance,1991-06-05,2011-05-06,2009-02-05,Y
SD47291737,Emp and Assistance,2011-08-17,2017-04-12,2016-11-22,Y
SD47881388,Emp and Assistance,1999-07-21,2002-02-25,2002-02-12,N
SD47665839,Emp and Assistance,1992-01-01,2009-01-15,2009-01-14,N
SD48809976,Emp and Assistance,1996-06-13,2008-03-12,2007-09-17,N
SD47333624,Emp and Assistance,1991-09-12,2009-08-12,2009-02-16,N
SD47975519,Emp and Assistance,1991-04-29,2011-06-17,1998-06-16,Y
SD47849593,Emp and Assistance,1995-01-05,2001-04-24,2001-02-01,N
SD48104999,Emp and Assistance,2007-09-18,2019-01-19,2015-07-02,N
SD48911132,Emp and Assistance,2007-09-25,2012-09-17,2011-12-29,Y
SD47672146,Emp and Assistance,2011-05-13,2023-05-12,2023-02-24,N
SD48027518,Emp and Assistance,2004-03-11,2022-08-09,2008-05-08,N
SD47977912,Emp and Assistance,1992-07-23,2019-05-28,2007-08-09,Y
SD48702331,Emp and Assistance,1991-04-05,2010-11-19,2010-05-12,N
SD48377658,Emp and Assistance,2003-04-29,2017-04-22,2016-12-20,N
SD48217431,Emp and Assistance,1994-10-11,2023-02-11,2022-11-18,N
SD48350698,Emp and Assistance,1993-05-11,2019-07-31,1999-10-20,Y
SD47622441,Emp and Assistance,1996-01-31,2008-09-03,1996-04-30,Y
SD47748776,Emp and Assistance,1993-09-03,2023-01-31,2003-11-20,Y
SD48252400,Emp and Assistance,1992-01-29,2022-07-15,2021-03-26,N
SD47067993,Emp and Assistance,1991-09-05,2001-01-10,1999-04-22,N
SD47313933,Emp and Assistance,2001-12-18,2013-03-06,2010-05-04,N
SD46956051,Emp and Assistance,1992-08-31,2021-04-22,2013-05-15,N
SD48776922,Emp and Assistance,1992-04-22,2022-01-25,2013-05-15,Y
SD48239578,Emp and Assistance,2004-01-05,2008-09-23,2008-09-23,N
SD47165597,Emp and Assistance,1996-07-08,2022-02-07,2020-10-27,N
SD47609358,Emp and Assistance,1996-04-09,2014-08-15,2009-01-26,N
SD47813798,Emp and Assistance,2009-02-26,2023-01-25,2017-07-20,Y
SD47371457,Emp and Assistance,1996-10-02,2020-09-01,2008-02-12,Y
SD48751007,Emp and Assistance,1994-03-22,2018-11-17,2017-06-07,N
SD47051055,Emp and Assistance,1997-09-12,2023-05-19,2021-04-29,N
SD47049825,Emp and Assistance,2011-01-17,2014-08-22,2014-05-28,N
SD48319278,Emp and Assistance,1992-10-23,2004-04-13,2002-11-26,N
SD48704701,Emp and Assistance,1991-10-17,2013-12-13,2012-04-11,Y
SD47327843,Emp and Assistance,1998-04-01,2023-07-11,2020-03-09,Y
SD48517143,Emp and Assistance,2004-05-07,2006-09-07,2005-03-02,N
SD48056088,Emp and Assistance,2007-11-28,2023-07-13,2015-05-01,Y
SD48099710,Emp and Assistance,1991-07-30,2003-05-15,2002-01-21,N
SD47151085,Emp and Assistance,1992-11-27,2022-11-18,2022-03-23,N
SD48545676,Emp and Assistance,1996-10-28,2003-05-12,2003-02-20,N
SD48179839,Emp and Assistance,1993-09-07,2021-10-25,2004-02-12,Y
SD48028063,Emp and Assistance,2004-03-09,2022-09-16,2021-03-11,N
SD47291565,Emp and Assistance,1994-12-19,2004-05-05,1997-11-21,Y
SD47885238,Emp and Assistance,2001-04-30,2004-07-05,2003-01-23,N
SD47451507,Emp and Assistance,2000-03-20,2022-11-25,2001-02-06,Y
SD48219095,Emp and Assistance,2001-01-09,2018-04-21,2015-02-24,N
SD47500836,Emp and Assistance,1995-05-31,2006-12-13,2006-09-21,N
SD48381524,Emp and Assistance,2003-06-19,2023-06-26,2017-10-10,Y
SD47132908,Emp and Assistance,1997-07-15,2010-08-26,2010-07-20,N
SD48937097,Emp and Assistance,2006-09-28,2014-04-10,2013-01-21,Y
SD47741478,Emp and Assistance,2008-12-12,2012-05-19,2011-12-28,N
SD47208157,Emp and Assistance,1995-11-02,2009-08-17,2009-04-09,Y
SD47340872,Emp and Assistance,2010-01-21,2022-11-18,2022-08-11,N
SD47273054,Emp and Assistance,1994-07-11,2023-09-15,2019-06-19,N
SD47454378,Emp and Assistance,2001-09-17,2005-10-20,2004-02-04,N
SD48545366,Emp and Assistance,1997-12-04,2004-04-05,2003-11-05,N
SD47178564,Emp and Assistance,2003-07-04,2022-04-11,2021-08-31,N
SD48606310,Emp and Assistance,1994-08-04,2022-06-07,2017-07-04,Y
SD47348186,Emp and Assistance,1991-11-26,2021-06-16,2008-08-19,Y
SD47979091,Emp and Assistance,1992-11-12,2013-07-03,2009-02-04,N
SD48956303,Emp and Assistance,1994-02-01,2023-04-20,2022-06-13,Y
SD48609044,Emp and Assistance,1994-09-20,2021-11-26,2021-06-02,Y
SD47983054,Emp and Assistance,1993-02-26,2023-03-17,2010-04-26,N
SD48514059,Emp and Assistance,2009-12-18,2022-12-17,2014-04-10,N
SD48651410,Emp and Assistance,2002-06-14,2020-09-19,2011-10-13,N
SD47156338,Emp and Assistance,1991-10-01,2022-09-08,2012-12-17,Y
SD47135786,Emp and Assistance,2001-03-02,2014-08-07,2010-12-10,N
SD48658367,Emp and Assistance,1991-07-15,2022-08-29,2008-02-29,Y
SD47371032,Emp and Assistance,1998-11-09,2009-08-21,2009-05-19,N
SD48837559,Emp and Assistance,1996-01-02,2002-09-10,2002-04-26,N
SD46977429,Emp and Assistance,1995-06-05,2016-02-09,2014-07-21,Y
SD47068475,Emp and Assistance,1991-03-06,2001-10-10,2000-10-10,N
SD48940886,Emp and Assistance,2009-05-22,2020-05-23,2019-02-08,N
SD47083220,Emp and Assistance,2009-04-06,2011-07-11,2011-01-06,N
SD47161401,Emp and Assistance,2009-02-06,2021-02-22,2014-01-09,N
SD49000051,Emp and Assistance,2002-06-19,2007-02-13,2004-06-22,N
SD48016448,Emp and Assistance,2008-10-24,2022-09-26,2008-11-28,Y
SD47833837,Emp and Assistance,1992-01-03,2017-10-21,2016-11-24,N
SD47831709,Emp and Assistance,2008-06-12,2020-10-20,2019-05-01,N
SD47691898,Emp and Assistance,1992-05-19,2013-04-20,2013-01-14,N
SD48330603,Emp and Assistance,2001-11-15,2015-09-19,2015-02-18,N
SD47974053,Emp and Assistance,2006-08-22,2013-02-04,2012-11-29,N
SD49009567,Emp and Assistance,1991-06-20,1999-10-28,1999-04-15,N
SD47273012,Emp and Assistance,1991-07-25,2006-08-21,1998-06-10,Y
SD47103370,Emp and Assistance,2002-01-04,2021-04-20,2009-11-13,N
SD48325433,Emp and Assistance,1992-06-17,2023-05-09,2002-07-08,Y
SD47208574,Emp and Assistance,1993-11-29,2017-03-21,1998-10-28,Y
SD47254479,Emp and Assistance,2009-03-30,2022-08-19,2019-05-29,N
SD48742794,Emp and Assistance,1996-10-31,2022-09-16,2021-11-09,N
SD48252232,Emp and Assistance,1992-01-31,2023-08-16,2022-07-13,Y
SD47328111,Emp and Assistance,1998-04-29,2016-04-11,2012-11-07,N
SD128123066,Emp and Assistance,2012-12-27,2019-05-03,2019-04-30,Y
SD47594737,Emp and Assistance,1992-02-25,2021-05-06,2003-02-17,Y
SD47862127,Emp and Assistance,1995-01-06,2021-01-16,2020-04-17,N
SD46956678,Emp and Assistance,1995-10-24,2022-12-14,2019-08-02,Y
SD47299208,Emp and Assistance,2010-05-13,2019-07-08,2018-11-15,N
SD48726778,Emp and Assistance,1991-10-22,2023-03-17,2022-07-04,N
SD47863768,Emp and Assistance,1991-12-02,2019-12-09,2011-06-07,Y
SD48055169,Emp and Assistance,1992-04-29,2011-03-04,2009-08-07,Y
SD48934265,Emp and Assistance,2005-08-19,2005-11-04,2005-09-06,N
SD48411504,Emp and Assistance,1995-05-08,2003-06-10,1997-08-08,N
SD48398691,Emp and Assistance,2010-09-23,2013-01-18,2012-10-17,Y
SD48865253,Emp and Assistance,1993-07-05,2009-10-01,2009-08-25,N
SD47507485,Emp and Assistance,1991-06-25,2005-09-09,2005-04-26,Y
SD47206655,Emp and Assistance,2009-02-19,2015-04-27,2015-04-01,N
SD47383469,Emp and Assistance,1993-08-09,2023-02-01,2003-11-18,Y
SD47067217,Emp and Assistance,1992-02-17,2008-10-07,2008-04-07,N
SD48737426,Emp and Assistance,1999-01-25,2022-09-16,2022-01-19,N
SD47441059,Emp and Assistance,1999-07-13,2003-04-28,2003-01-14,N
SD47701404,Emp and Assistance,1999-10-06,2008-09-30,2008-09-11,N
SD48777091,Emp and Assistance,1994-03-09,1998-07-14,1997-09-16,N
SD48607663,Emp and Assistance,1992-08-17,2003-12-05,2003-04-04,N
SD47122599,Emp and Assistance,2011-01-18,2013-06-22,2013-01-30,N
SD48144197,Emp and Assistance,2008-12-31,2015-08-18,2014-06-16,N
SD47224880,Emp and Assistance,1995-06-09,2022-01-07,2011-02-10,Y
SD47236066,Emp and Assistance,2001-11-02,2016-06-08,2004-02-19,N
SD47975051,Emp and Assistance,2010-03-19,2018-07-21,2018-04-24,N
SD48252509,Emp and Assistance,1992-01-30,1999-09-03,1997-08-08,N
SD48096677,Emp and Assistance,2003-08-04,2023-04-20,2013-01-15,Y
SD48237536,Emp and Assistance,2009-06-23,2021-11-01,2014-02-11,Y
SD48389262,Emp and Assistance,1993-06-22,2005-11-16,2005-10-14,N
SD47334934,Emp and Assistance,2010-03-19,2013-07-15,2012-11-28,N
SD47817017,Emp and Assistance,2008-04-18,2023-06-15,2020-03-05,Y
SD47315499,Emp and Assistance,1993-10-08,2023-04-17,2002-09-27,Y
SD48270704,Emp and Assistance,1992-10-09,2023-06-27,2012-07-09,Y
SD46945815,Emp and Assistance,1995-07-04,2002-07-05,2001-12-28,N
SD47010722,Emp and Assistance,1991-01-31,2011-05-13,2000-02-11,Y
SD48094799,Emp and Assistance,1991-12-05,2010-03-11,2010-01-25,N
SD48714968,Emp and Assistance,1996-12-16,2020-12-22,2020-12-14,N
SD47958193,Emp and Assistance,1996-05-13,2011-09-16,2010-12-16,N
SD48015435,Emp and Assistance,1995-05-05,2009-06-23,2009-05-07,N
SD48556081,Emp and Assistance,2011-06-17,2019-07-20,2017-05-08,Y
SD48262151,Emp and Assistance,1991-05-02,2022-06-09,2020-01-03,Y
SD48011473,Emp and Assistance,2010-12-06,2022-11-18,2022-02-03,N
SD48159515,Emp and Assistance,1993-07-06,2003-02-28,2001-04-24,N
SD47333859,Emp and Assistance,1995-03-24,1999-01-15,1999-01-15,N
SD47371883,Emp and Assistance,1996-10-11,2020-05-07,2018-08-30,N
SD47352976,Emp and Assistance,2009-11-13,2016-12-28,2016-07-05,N
SD47371094,Emp and Assistance,1998-11-12,2020-05-07,1999-04-07,Y
SD48551941,Emp and Assistance,1991-10-28,2004-09-20,2004-09-15,N
SD47833431,Emp and Assistance,2008-09-12,2022-02-12,2021-09-10,N
SD48158077,Emp and Assistance,1992-05-05,2006-11-09,2006-08-15,N
SD48837781,Emp and Assistance,1992-12-09,2004-06-10,2001-08-31,N
SD48741030,Emp and Assistance,1991-12-20,1998-10-09,1995-12-14,N
SD48735285,Emp and Assistance,2011-03-14,2021-12-15,2012-08-16,N
SD48900239,Emp and Assistance,1992-01-07,2023-07-11,2023-07-10,N
SD48034847,Emp and Assistance,1992-04-13,2023-05-12,2022-08-31,N
SD47127436,Emp and Assistance,1993-02-15,2008-07-16,1993-06-28,N
SD48401667,Emp and Assistance,2010-08-31,2020-08-25,2018-01-05,Y
SD48292799,Emp and Assistance,1991-03-05,2017-04-26,2014-03-05,Y
SD47376021,Emp and Assistance,2012-02-09,2021-05-12,2020-03-27,N
SD47948168,Emp and Assistance,1999-09-02,2022-06-17,2021-08-09,Y
SD47287625,Emp and Assistance,1993-08-31,2000-09-07,1999-04-07,N
SD49048751,Emp and Assistance,1991-11-01,2023-02-27,2003-06-12,Y
SD48488924,Emp and Assistance,1994-02-01,2000-02-21,2000-01-21,N
SD47235984,Emp and Assistance,2002-01-07,2023-02-15,2020-01-31,N
SD47160809,Emp and Assistance,1995-08-15,1999-12-02,1999-06-10,N
SD47327291,Emp and Assistance,1995-01-18,1997-10-28,1997-08-05,N
SD47354647,Emp and Assistance,2001-10-22,2020-12-12,2009-03-17,Y
SD47983053,Emp and Assistance,1993-03-04,2017-09-14,2012-01-16,N
SD47273024,Emp and Assistance,1991-05-27,2022-12-14,2008-10-21,N
SD47135317,Emp and Assistance,2001-02-23,2001-10-17,2001-06-22,N
SD47278948,Emp and Assistance,1998-07-27,2021-10-29,2002-10-29,Y
SD47509366,Emp and Assistance,2011-07-06,2011-10-21,2011-10-21,N
SD47505391,Emp and Assistance,2011-02-28,2017-05-31,2017-03-10,N
SD47799016,Emp and Assistance,1994-08-09,2021-07-15,2001-06-07,Y
SD49059783,Emp and Assistance,2006-04-06,2015-04-28,2014-02-03,N
SD47127320,Emp and Assistance,1994-01-10,2021-03-30,2004-06-18,Y
SD47651131,Emp and Assistance,1995-04-05,2023-01-13,2019-11-22,N
SD48570872,Emp and Assistance,2010-12-31,2019-03-16,2018-10-29,N
SD49033343,Emp and Assistance,1996-06-27,2020-09-19,2019-12-12,N
SD47376205,Emp and Assistance,1997-03-06,2022-08-04,2019-01-31,Y
SD47708771,Emp and Assistance,2004-10-08,2008-12-04,2008-01-16,N
SD47757238,Emp and Assistance,2004-01-22,2017-01-14,2004-09-10,N
SD47155485,Emp and Assistance,1991-09-10,2008-01-03,2008-01-03,Y
SD48797434,Emp and Assistance,2001-06-15,2020-01-09,2019-03-06,Y
SD48864709,Emp and Assistance,1992-03-02,2012-12-15,1994-12-28,Y
SD48050157,Emp and Assistance,2007-10-29,2015-10-14,2014-09-16,N
SD47036287,Emp and Assistance,2010-10-21,2013-04-15,2012-06-28,N
SD48061267,Emp and Assistance,1993-12-31,2022-05-16,2008-10-07,Y
SD47798886,Emp and Assistance,1992-08-25,2020-05-21,2003-04-10,N
SD47817248,Emp and Assistance,2008-04-21,2009-10-16,2008-05-08,N
SD48795103,Emp and Assistance,1991-09-10,2015-08-31,2015-01-21,N
SD47055806,Emp and Assistance,1995-08-09,2023-06-19,1996-05-28,Y
SD47194077,Emp and Assistance,2009-11-04,2023-01-13,2022-03-15,N
SD47676362,Emp and Assistance,1991-05-10,2003-03-04,2000-11-01,Y
SD47376278,Emp and Assistance,1997-03-05,2021-08-21,2020-12-29,N
SD47264342,Emp and Assistance,1993-03-17,2013-03-16,1999-07-26,Y
SD47026554,Emp and Assistance,2010-10-22,2011-11-18,2011-11-18,N
SD47163802,Emp and Assistance,1995-06-20,2008-03-04,2008-01-16,N
SD47538228,Emp and Assistance,1991-07-08,2003-08-29,1995-02-20,N
SD48906546,Emp and Assistance,1993-05-27,2004-06-18,2003-08-12,N
SD47333630,Emp and Assistance,1991-09-16,2017-06-17,2008-06-23,Y
SD46950365,Emp and Assistance,1993-09-21,2023-01-19,2017-02-01,Y
SD48358865,Emp and Assistance,1991-10-07,2021-07-07,1999-07-22,Y
SD48614725,Emp and Assistance,1995-04-24,2010-10-22,2008-06-03,N
SD48609293,Emp and Assistance,1994-09-27,2007-06-04,2007-02-27,N
SD48373971,Emp and Assistance,1994-06-06,1997-11-12,1997-08-11,N
SD48314449,Emp and Assistance,2002-12-20,2020-09-22,2012-01-06,Y
SD47150434,Emp and Assistance,2007-11-09,2017-01-14,2016-06-15,N
SD47570549,Emp and Assistance,1991-11-15,2022-04-11,2014-02-27,N
SD48104122,Emp and Assistance,1991-08-07,2005-03-01,2004-10-18,N
SD47337669,Emp and Assistance,2011-05-13,2023-05-12,2022-03-09,N
SD48081633,Emp and Assistance,2007-06-12,2010-09-01,2010-04-29,N
SD48751169,Emp and Assistance,1992-12-23,2010-03-19,2009-12-23,N
SD47320241,Emp and Assistance,1991-03-15,2008-08-20,2007-08-30,N
SD48865827,Emp and Assistance,2004-09-09,2018-05-10,2015-01-02,N
SD47817081,Emp and Assistance,2008-04-17,2017-03-27,2015-03-06,N
SD48240218,Emp and Assistance,2004-01-20,2022-11-01,2022-11-01,N
SD48007584,Emp and Assistance,1991-05-02,2023-08-17,1992-06-26,Y
SD47154542,Emp and Assistance,1992-11-06,2022-12-17,2017-11-23,N
SD46997083,Emp and Assistance,2010-03-04,2022-01-19,2020-01-10,N
SD47330466,Emp and Assistance,2010-06-09,2014-01-23,2013-12-04,N
SD47617535,Emp and Assistance,2011-02-11,2023-01-13,2022-10-25,N
SD47169052,Emp and Assistance,2000-12-04,2002-10-07,2001-12-07,N
SD47208051,Emp and Assistance,1994-02-15,2013-06-17,2012-07-16,N
SD47874825,Emp and Assistance,1999-08-26,2000-06-14,2000-05-29,N
SD47685231,Emp and Assistance,2001-01-30,2019-12-02,2016-04-01,N
SD47651090,Emp and Assistance,1995-04-04,2023-06-22,2022-10-18,Y
SD48886707,Emp and Assistance,1992-02-03,2021-05-31,2019-08-08,N
SD48269721,Emp and Assistance,1993-12-07,2005-10-06,2005-05-31,N
SD48367441,Emp and Assistance,2002-07-17,2008-01-02,2006-11-10,N
SD49021396,Emp and Assistance,1992-05-25,1997-12-31,1995-10-20,N
SD47269026,Emp and Assistance,1991-11-26,2007-09-06,2007-08-07,N
SD47964939,Emp and Assistance,2010-08-09,2023-04-14,2020-03-09,N
SD47640586,Emp and Assistance,1993-10-22,1999-08-18,1998-01-14,N
SD47769583,Emp and Assistance,1991-03-26,2021-04-09,2001-06-25,Y
SD47619668,Emp and Assistance,2001-07-16,2003-09-11,2003-07-16,N
SD48169147,Emp and Assistance,2007-01-26,2008-09-17,2008-07-11,N
SD48151295,Emp and Assistance,1991-11-01,1999-05-11,1998-09-21,N
SD48264055,Emp and Assistance,1993-11-29,2002-07-16,1996-05-13,N
SD48967094,Emp and Assistance,2008-07-03,2021-09-18,2019-08-01,N
SD47515032,Emp and Assistance,2005-07-11,2023-09-15,2018-03-07,N
SD47194207,Emp and Assistance,2009-11-03,2014-02-05,2013-07-29,N
SD48515781,Emp and Assistance,2008-01-03,2013-01-30,2012-11-27,N
SD47217456,Emp and Assistance,2009-10-16,2021-02-01,2017-06-23,N
SD47069279,Emp and Assistance,2000-07-13,2023-07-24,2005-11-10,Y
SD48981582,Emp and Assistance,1994-04-07,2022-01-31,2015-03-10,N
SD47358832,Emp and Assistance,2010-04-22,2018-08-15,2018-08-15,Y
SD48270865,Emp and Assistance,1991-10-15,2023-01-18,2014-03-04,Y
SD48752850,Emp and Assistance,2006-08-22,2014-12-13,2013-12-23,N
SD48322228,Emp and Assistance,1992-11-17,2022-07-12,1993-11-18,Y
SD46997454,Emp and Assistance,2010-03-09,2021-07-17,2020-11-02,N
SD48423539,Emp and Assistance,2010-09-17,2019-11-25,2019-11-19,Y
SD48433345,Emp and Assistance,1995-07-28,2022-06-06,1999-10-07,Y
SD48579522,Emp and Assistance,1993-01-29,2008-08-29,2006-08-10,N
SD48699029,Emp and Assistance,1991-10-21,2004-05-06,2003-08-18,Y
SD48944249,Emp and Assistance,1991-03-05,2023-09-15,2010-03-19,N
SD47270760,Emp and Assistance,1996-02-05,2009-03-13,2008-12-24,Y
SD48901950,Emp and Assistance,1991-05-24,2022-06-17,2015-07-14,Y
SD48713520,Emp and Assistance,1998-06-16,2021-11-29,2003-07-16,Y
SD48651913,Emp and Assistance,2011-03-02,2022-12-17,2021-12-08,N
SD47314316,Emp and Assistance,2001-12-31,2022-12-12,2006-09-26,Y
SD48167585,Emp and Assistance,1996-09-27,2006-11-14,2006-08-14,N
SD48946324,Emp and Assistance,1998-12-08,2023-06-16,2018-09-28,N
SD47696327,Emp and Assistance,1993-10-07,2023-05-24,2018-10-16,N
SD46974172,Emp and Assistance,2009-03-09,2017-01-14,2014-01-14,Y
SD48727714,Emp and Assistance,2000-11-15,2023-07-05,2019-05-16,Y
SD47229787,Emp and Assistance,1991-11-01,2022-11-28,2007-07-16,Y
SD48267096,Emp and Assistance,1991-05-29,2016-06-10,2014-04-10,N
SD47150275,Emp and Assistance,1992-10-13,2000-01-28,1999-12-20,N
SD48177517,Emp and Assistance,1991-08-02,2022-05-31,1996-12-20,Y
SD48218078,Emp and Assistance,1994-11-03,2022-05-11,2007-09-11,N
SD49003045,Emp and Assistance,1999-02-05,2021-02-01,2015-11-17,Y
SD48023784,Emp and Assistance,2003-05-27,2019-08-13,2011-02-18,Y
SD47378932,Emp and Assistance,1997-04-22,2022-11-18,2006-09-06,N
SD47543559,Emp and Assistance,2004-09-28,2021-01-16,2018-11-05,N
SD49002357,Emp and Assistance,1991-06-05,2020-09-16,2018-03-02,Y
SD48297167,Emp and Assistance,1992-10-20,2013-11-18,2013-04-11,N
SD48520674,Emp and Assistance,2008-02-05,2020-06-09,2018-03-16,Y
SD48579720,Emp and Assistance,1993-02-04,2012-09-22,2010-01-19,Y
SD48217484,Emp and Assistance,1994-10-13,2003-06-06,2003-03-03,N
SD48217298,Emp and Assistance,1994-10-11,2023-01-17,2000-08-02,Y
SD48514248,Emp and Assistance,2010-01-08,2014-12-09,2014-10-02,N
SD48580762,Emp and Assistance,1993-05-28,2023-03-09,1996-08-08,N
SD48421136,Emp and Assistance,1997-10-30,2022-10-04,2022-06-21,Y
SD47622238,Emp and Assistance,1992-10-27,2009-10-28,2008-06-12,N
SD48912374,Emp and Assistance,1996-10-04,2021-02-01,2003-05-29,N
SD48751194,Emp and Assistance,1992-12-21,2022-05-20,2022-02-17,N
SD48380764,Emp and Assistance,1993-10-14,2020-08-04,2002-03-05,Y
SD47750915,Emp and Assistance,1997-11-12,1999-11-17,1999-07-23,N
SD48372497,Emp and Assistance,1991-04-12,2017-12-28,2017-06-19,N
SD48270691,Emp and Assistance,1992-09-18,2006-03-09,1999-09-21,N
SD469677291,Emp and Assistance,2015-01-09,2022-07-15,2019-07-30,N
SD47371203,Emp and Assistance,1998-11-12,2014-01-15,2004-03-15,N
SD48667775,Emp and Assistance,2011-10-31,2020-07-04,2019-05-02,Y
SD48605409,Emp and Assistance,1992-04-23,2001-08-27,2001-06-27,Y
SD49009649,Emp and Assistance,1994-04-05,2019-11-20,2002-08-19,N
SD47398949,Emp and Assistance,1992-12-01,2018-04-06,2018-02-05,N
SD47499213,Emp and Assistance,2008-06-19,2012-01-30,2011-12-08,N
SD48600834,Emp and Assistance,2009-02-09,2023-04-20,2023-04-04,N
SD47448969,Emp and Assistance,1991-10-22,2021-06-17,1998-11-05,Y
SD47084829,Emp and Assistance,1994-06-10,2023-01-13,2011-02-03,N
SD47030739,Emp and Assistance,1992-08-31,1999-08-05,1995-09-29,N
SD47834307,Emp and Assistance,1991-05-06,2010-05-14,2009-08-11,N
SD48383349,Emp and Assistance,2003-08-19,2020-07-20,2004-03-26,Y
SD48104106,Emp and Assistance,1991-08-07,2003-02-04,1992-09-25,N
SD47318624,Emp and Assistance,2010-04-16,2010-10-22,2010-10-22,Y
SD48585396,Emp and Assistance,1994-01-25,2022-02-12,2003-06-06,N
SD47461374,Emp and Assistance,2009-08-19,2020-06-20,2020-03-04,Y
SD47318583,Emp and Assistance,2010-02-15,2023-01-25,2022-07-26,N
SD48899916,Emp and Assistance,1994-04-05,2021-12-01,2014-08-26,Y
SD47721593,Emp and Assistance,2006-06-08,2013-11-15,2013-05-03,N
SD48895988,Emp and Assistance,1993-03-02,2003-03-13,2003-02-27,N
SD47513944,Emp and Assistance,2003-09-04,2022-08-04,2009-11-17,N
SD47068404,Emp and Assistance,1996-02-29,2019-11-19,2005-03-08,Y
SD48006910,Emp and Assistance,1991-09-12,2023-09-12,2009-10-23,Y
SD47145098,Emp and Assistance,1996-12-24,1998-04-30,1998-03-04,N
SD48743881,Emp and Assistance,2005-05-19,2013-12-13,2013-09-30,N
SD47409595,Emp and Assistance,2002-10-28,2021-12-09,2014-04-02,Y
SD47295155,Emp and Assistance,1993-08-12,2021-12-02,2001-11-01,Y
SD48062337,Emp and Assistance,2000-02-07,2003-12-17,2003-12-17,N
SD47279316,Emp and Assistance,2006-02-21,2016-10-13,2015-12-15,N
SD48022713,Emp and Assistance,2003-09-18,2022-10-21,2021-07-28,N
SD47697847,Emp and Assistance,1991-09-18,2016-06-18,2015-05-08,N
SD48961705,Emp and Assistance,2009-09-18,2012-02-06,2010-01-25,N
SD48751452,Emp and Assistance,1993-01-05,2001-10-18,2001-09-20,N
SD47671786,Emp and Assistance,2000-10-24,2021-01-16,2016-12-28,N
SD48520649,Emp and Assistance,2008-01-31,2011-05-13,2010-10-19,Y
SD47383590,Emp and Assistance,1993-06-04,2022-05-24,1998-05-11,Y
SD48141435,Emp and Assistance,2010-01-05,2017-07-11,2017-01-04,N
SD47254447,Emp and Assistance,2009-04-01,2022-08-19,2021-11-01,N
SD47872334,Emp and Assistance,1992-05-06,2021-05-04,2011-07-15,Y
SD48741415,Emp and Assistance,2008-04-17,2023-04-12,2021-09-29,N
SD47963340,Emp and Assistance,1994-08-02,2022-11-04,2019-07-12,N
SD47738545,Emp and Assistance,1999-08-30,2023-07-14,2023-04-24,N
SD47963171,Emp and Assistance,1999-06-21,2005-02-16,2005-02-03,N
